"OD750","OD680","Observation_Date_Time"
0.84,1.21,"1/21/2015 2:30:00 PM"
0.88,1.26,"1/21/2015 2:30:00 PM"
0.88,1.26,"1/21/2015 2:30:00 PM"
0.93,1.31,"1/21/2015 2:30:00 PM"
1.01,1.5,"1/21/2015 2:30:00 PM"
0.77,1.14,"1/21/2015 9:00:00 AM"
0.77,1.14,"1/21/2015 9:00:00 AM"
0.77,1.14,"1/21/2015 9:00:00 AM"
0.9,1.37,"1/21/2015 9:00:00 AM"
0.77,1.16,"1/21/2015 9:00:00 AM"
0.74,1.14,"1/21/2015 9:00:00 AM"
0.82,1.19,"1/21/2015 9:00:00 AM"
0.681,0.922,"1/21/2015 9:00:00 AM"
0.681,0.922,"1/21/2015 9:00:00 AM"
2.028,2.708,"1/21/2015 9:00:00 AM"
2.028,2.708,"1/21/2015 9:00:00 AM"
2.083,2.8,"1/21/2015 9:00:00 AM"
2.083,2.8,"1/21/2015 9:00:00 AM"
2.083,2.8,"1/21/2015 9:00:00 AM"
0.649,0.873,"1/22/2015 10:00:00 AM"
1.928,2.535,"1/22/2015 10:00:00 AM"
1.928,2.535,"1/22/2015 10:00:00 AM"
2.068,2.67,"1/22/2015 10:00:00 AM"
"NA","NA","1/22/2015 2:05:00 PM"
2.005,2.63,"1/22/2015 2:05:00 PM"
2.005,2.63,"1/22/2015 2:05:00 PM"
2.108,2.765,"1/22/2015 2:05:00 PM"
2.108,2.765,"1/22/2015 2:05:00 PM"
2.108,2.765,"1/22/2015 2:05:00 PM"
0.76,1.11,"1/22/2015 2:30:00 PM"
0.78,1.12,"1/22/2015 2:30:00 PM"
0.79,1.13,"1/22/2015 2:30:00 PM"
0.8,1.17,"1/22/2015 2:30:00 PM"
0.8,1.17,"1/22/2015 2:30:00 PM"
0.84,1.19,"1/22/2015 2:30:00 PM"
0.9,1.36,"1/22/2015 2:30:00 PM"
2.005,2.63,"1/22/2015 3:05:00 PM"
2.005,2.63,"1/22/2015 3:05:00 PM"
2.108,2.765,"1/22/2015 3:05:00 PM"
0.733,0.982,"1/22/2015 3:15:00 AM"
0.733,0.982,"1/22/2015 3:15:00 AM"
0.733,0.982,"1/22/2015 4:15:00 AM"
0.525,0.709,"1/22/2015 4:45:00 PM"
0.525,0.709,"1/22/2015 4:45:00 PM"
0.563,0.768,"1/22/2015 4:45:00 PM"
0.563,0.768,"1/22/2015 4:45:00 PM"
0.563,0.768,"1/22/2015 4:45:00 PM"
0.525,0.709,"1/22/2015 5:45:00 PM"
0.525,0.709,"1/22/2015 5:45:00 PM"
0.563,0.768,"1/22/2015 5:45:00 PM"
0.87,1.35,"1/22/2015 9:00:00 AM"
0.72,1.08,"1/22/2015 9:00:00 AM"
0.78,1.16,"1/22/2015 9:00:00 AM"
0.78,1.16,"1/22/2015 9:00:00 AM"
0.76,1.08,"1/22/2015 9:00:00 AM"
0.78,1.15,"1/22/2015 9:00:00 AM"
0.83,1.2,"1/22/2015 9:00:00 AM"
0.649,0.873,"1/22/2015 9:00:00 AM"
0.649,0.873,"1/22/2015 9:00:00 AM"
1.928,2.535,"1/22/2015 9:00:00 AM"
1.928,2.535,"1/22/2015 9:00:00 AM"
2.068,2.67,"1/22/2015 9:00:00 AM"
2.068,2.67,"1/22/2015 9:00:00 AM"
2.068,2.67,"1/22/2015 9:00:00 AM"
0.531,0.731,"1/23/2015 10:00:00 AM"
0.566,0.788,"1/23/2015 10:00:00 AM"
0.722,0.984,"1/23/2015 10:00:00 AM"
0.122,0.122,"1/23/2015 12:00:00 AM"
0.135,0.135,"1/23/2015 12:00:00 AM"
0.128,0.128,"1/23/2015 12:00:00 AM"
0.37,0.37,"1/23/2015 12:00:00 AM"
0.72,1.05,"1/23/2015 2:30:00 PM"
0.73,1.06,"1/23/2015 2:30:00 PM"
0.73,1.06,"1/23/2015 2:30:00 PM"
